id,role,tier,category,action,wording,frequency,intensity,evidence_to_monitor,whole_plan,linked_activities
R-TR-04,Transition Coordinator,2,Transition and pathways,Manage mid-year changes of class or subject,"The {role} should manage any mid-year change of class, subject or teacher for {preferredName} as a planned transition, briefing the new staff and preparing {preferredName} beforehand, so a change of timetable does not undo settled routines.",before each mid-year change,Advance briefing of staff plus preparation with the student,settling after the change; supports carried across,,Carrying Out Daily Routines
R-WB-01,Wellbeing Lead,2,Wellbeing and mental health,Planned weekly check-in,"The {role} should hold a planned check-in with {preferredName} at an agreed time each week, in a consistent place with the same adult, so early signs of distress are noticed and acted on before they escalate.",once a week at an agreed time,Short individual conversation with the same adult each time,patterns raised by the student; early signs noticed and what was done,,Handling Stress and Other Psychological Demands
R-WB-02,Wellbeing Lead,3,Wellbeing and mental health,Coordinate a graduated return after absence,"The {role} should coordinate a written return-to-school plan for {preferredName} after any extended absence, setting out which classes are returned to first, who meets them at the gate and how the plan builds back to a full timetable, so returning is a supported process rather than a single hard day.","after any absence beyond the agreed threshold, reviewed weekly","Written plan, named adult on arrival, weekly review of the build-back",days and classes attended; student and family report of the return,,Handling Stress and Other Psychological Demands
R-WB-03,Wellbeing Lead,2,Wellbeing and mental health,Agree and teach a safe place and how to get there,"The {role} should agree a specific safe place with {preferredName}, document how it is accessed and who is notified, teach {preferredName} how to use it and brief the teaching team, so leaving a situation safely does not depend on negotiating it in the moment.","set up once, taught before it is needed, reviewed each term","Documented process, taught to the student, known by all their teachers",how often it is used and what triggered it; whether the student initiated it independently,,Handling Stress and Other Psychological Demands
R-WB-04,Wellbeing Lead,2,Wellbeing and mental health,Co-design a 'what helps me' summary with the student,"The {role} should work with {preferredName} to write a short 'what helps me' summary in {preferredName}'s own words and, with their consent, share it with their teachers, so staff act on what the student says helps rather than on assumption.",written once and reviewed each semester with the student,"Student-led drafting with adult scribing support, shared with consent",what the student names as helpful; changes at review,,Handling Stress and Other Psychological Demands
R-WB-05,Wellbeing Lead,3,Family partnership,Hold the link with family and outside services,"The {role} should be the school's named contact with {preferredName}'s family and any outside service, with consent, passing on relevant information in both directions within an agreed timeframe, so the family tells the story once and school and service advice do not contradict each other.",contact at least fortnightly while support is active,Named single point of contact with documented information sharing,information shared and consent recorded; alignment between school and service advice,,Handling Stress and Other Psychological Demands
R-WB-06,Wellbeing Lead,2,Staff capability and briefing,Debrief staff after a significant incident,"The {role} should debrief the staff involved after any significant incident involving {preferredName}, within the same week, covering what happened, what worked and what will change, so the response improves and staff are supported.",within a week of any significant incident,Structured debrief with agreed changes recorded,changes agreed after each debrief; repeat incidents of the same type,,Handling Stress and Other Psychological Demands
R-YLL-01,Year Level Leader,2,Coordination and planning,Use the plan when setting classes and timetables,"The {role} should take {preferredName}'s plan into account when class lists, groupings and timetables are set, before the lists are finalised, so predictable difficulties are designed out rather than managed all year.",at each timetable or class list cycle,Plan consulted before decisions are locked in,placement decisions and how they worked out,,Carrying Out Daily Routines
R-YLL-02,Year Level Leader,2,Staff capability and briefing,Brief the year level team each term,"The {role} should brief the year level team on {preferredName}'s current adjustments at the start of each term, including what to do when things are not going well, so every teacher in the team is working from the same information.",at the start of each term,Team briefing with the written summary distributed,consistency of response reported across the team,,Carrying Out Daily Routines
R-YLL-03,Year Level Leader,2,Coordination and planning,Keep behaviour responses consistent with the plan,"The {role} should make sure responses to {preferredName}'s behaviour follow the agreed plan rather than the generic consequence, and check any referral against the plan before it proceeds, so the response accounts for the disability-related need.",whenever a behaviour response or referral is made,Plan checked before a consequence or referral is applied,responses consistent with the plan; referrals reviewed and their outcome,,Managing One’s Own Behaviour
R-YLL-04,Year Level Leader,2,Assessment and curriculum access,Manage assessment load and clashes,"The {role} should monitor {preferredName}'s assessment load across subjects and adjust due dates where several fall in the same week, in line with the plan, so the workload is manageable without lowering what is expected.",at each assessment cycle,Cross-subject check with due dates adjusted where they clash,assessments submitted; weeks where the load was adjusted,,Solving Problems
R-SC-01,Support Coordinator,2,Coordination and planning,Coordinate ES staff deployment on the day,"The {role} should coordinate the deployment of ES and support staff for {preferredName} each day, matching staff to classes and activities in the plan, adjusting for absences and keeping a record of what was provided, so support is reliable rather than dependent on who is available.","at the start of each day, adjusted as the day unfolds",Daily coordination with a written record of deployment,planned versus actual deployment; lessons where the agreed support was not available and why,,Carrying Out Daily Routines
R-SC-02,Support Coordinator,2,Coordination and planning,Triage on-the-day DI and student needs,"The {role} should triage on-the-day requests for DI related support for {preferredName} — new concerns, escalations and changes in presentation — deciding what can be handled immediately, what needs the DI leader and what needs the wellbeing or behaviour lead, so urgent needs are addressed quickly and nothing is missed.","as needs arise each day, with unresolved matters handed to the DI leader the same day",Single point of triage with a clear escalation path,requests triaged and outcome; response time for urgent matters,,Handling Stress and Other Psychological Demands
R-SC-03,Support Coordinator,2,Staff capability and briefing,Brief and debrief ES staff around the student,"The {role} should brief ES staff working with {preferredName} at the start of the day on what is planned and debrief them at the end, passing on relevant teacher feedback and student voice, so support stays consistent and improvements are shared rather than isolated.",brief daily and debrief daily or at the end of the shift,Short structured handover with the plan as the reference,handovers completed; adjustments to support after debrief,,Undertaking Tasks Independently
R-SC-04,Support Coordinator,2,Documentation and evidence,Keep DI admin and records current on the day,"The {role} should keep {preferredName}'s DI related admin current on the day — attendance at support, changes to deployment, notes from triage and handover — and pass a summary to the DI leader weekly, so the formal record reflects what actually happened.","daily notes, summarised weekly",Contemporaneous notes held in one place with a weekly summary,records completed on the day; weekly summaries passed to the DI leader,,Carrying Out Daily Routines
