id,activity,level,field,was,now,reason
D2-A04-EXT-02C,Managing One’s Own Behaviour,Extensive,wording,Provide planned recovery spaces and consistent responses from trained staff,"Provide planned recovery spaces that {preferredName} is always free to leave, and consistent responses from trained staff",Safety: make clear the space is chosen and never locked or enforced (Victorian Restraint and Seclusion policy)
D3-A01-EXT-01C,Producing Non-Verbal Messages,Extensive,wording,Interpret {hishertheir} behaviour as communication and respond to the likely intent,Interpret {preferredName}'s behaviour as communication and respond to the likely intent,Independent review: pronoun read as the staff member's own
D6-A01-SUB-01A,Lifting and Carrying Objects,Substantial,wording,Regularly carry {hishertheir} bag,Regularly carry {preferredName}'s bag,Independent review: pronoun read as the staff member's own
D6-A01-EXT-01A,Lifting and Carrying Objects,Extensive,wording,Carry {hishertheir} bag and materials,Carry {preferredName}'s bag and materials,Independent review: pronoun read as the staff member's own
D6-A01-EXT-01B,Lifting and Carrying Objects,Extensive,wording,Carry and set up {hishertheir} communication device,Carry and set up {preferredName}'s communication device,Independent review: pronoun read as the staff member's own
D6-A01-EXT-01D,Lifting and Carrying Objects,Extensive,wording,Carry {hishertheir} personal care items,Carry {preferredName}'s personal care items,Independent review: pronoun read as the staff member's own
D1-A01-SUB-01A,Watching,Substantial,wording,Explicitly direct {hishertheir} attention to key visual features,Explicitly direct {preferredName}'s attention to key visual features,Independent review: pronoun read as the staff member's own
D2-A01-EXT-01C,Carrying Out Daily Routines,Extensive,wording,Complete parts of the routine on {hishertheir} behalf,Complete parts of the routine on {preferredName}'s behalf,Independent review: pronoun read as the staff member's own
D3-A02-EXT-01D,Interpreting Spoken Messages,Extensive,wording,Observe {hishertheir} behaviour to infer understanding,Observe {preferredName}'s behaviour to infer understanding,Independent review: pronoun read as the staff member's own
D3-A03-DT-01D,Interpreting Non-Verbal Messages,Differentiated Teaching,wording,Check {hishertheir} understanding of what another person may be communicating,Check {preferredName}'s understanding of what another person may be communicating,Independent review: pronoun read as the staff member's own
D6-A03-EXT-01A,Moving From Place to Place,Extensive,wording,Manage {hishertheir} mobility equipment,Manage {preferredName}'s mobility equipment,Independent review: pronoun read as the staff member's own
D1-A05-EXT-02A,Mathematics: Calculating,Extensive,wording,Adapt the calculation routine to the agreed steps and supports,Adapt each calculation routine so it follows the agreed steps and uses the agreed supports,Independent review: too vague or unclear
D3-A05-EXT-01D,Conversation,Extensive,wording,Offer visual choices so {preferredName} can take a turn,Offer visual choices for taking a turn in conversation,Independent review: wording or grammar
D2-A01-EXT-02B,Carrying Out Daily Routines,Extensive,wording,Adapt daily routines to what {preferredName} can currently manage,Adapt daily routines so {preferredName} can take part with the support set out in the plan,Independent review: lowered expectations without a safeguard
D4-A02-EXT-01A,Eating,Extensive,wording,Provide modified diets as prescribed,Prepare and serve texture-modified food as prescribed,Independent review: too vague or unclear
D4-A02-SUB-01A,Eating,Substantial,wording,Provide pre-cut food where documented,Cut {preferredName}'s food as set out in the plan,Independent review: too vague or unclear
D4-A02-SUP-02A,Eating,Supplementary,wording,Open packaging or teach an agreed way to open it,"Support {preferredName} to open packaging, opening it where needed",Independent review: too vague or unclear
D4-A07-SUP-01A,Looking After One’s Safety,Supplementary,wording,Provide planned supervision in the yard,Provide planned safety support in the yard,Independent review: too vague or unclear
D4-A03-EXT-01A,Dressing,Extensive,wording,Put on and fasten shoes for {preferredName},"Put on and fasten {preferredName}'s shoes, involving {himherthem} as far as possible",Independent review: personal care not anchored to the plan
D4-A04-EXT-01D,Toileting,Extensive,wording,Change continence aids,Change continence aids as set out in the personal care plan,Independent review: personal care not anchored to the plan
D4-A03-SUB-01C,Dressing,Substantial,wording,Guide {preferredName} into position for dressing,Guide {preferredName} into position for dressing as set out in the personal care plan,Independent review: personal care not anchored to the plan
D4-A04-EXT-01A,Toileting,Extensive,wording,Manage the toileting routine,Carry out the toileting routine as set out in the personal care plan,Independent review: personal care not anchored to the plan
D6-A04-SUB-01B,Positioning One’s Body,Substantial,wording,Adjust posture regularly to prevent pain,"Support {preferredName} to change position regularly to prevent pain, as documented",Independent review: personal care not anchored to the plan
D4-A04-SUB-02,Toileting,Substantial,wording,Guide hygiene practices,Guide {preferredName} through the agreed hygiene steps,Independent review: too vague or unclear
D2-A03-SUB-01D,Handling Stress and Other Psychological Demands,Substantial,wording,"Provide planned access to an agreed calm or low-stimulus space or regulation break, which {preferredName} chooses to use and is always free to leave","Provide planned access to an agreed calm or low-stimulus space, which {preferredName} chooses to use and is always free to leave, or a regulation break",Independent review: wording or grammar
D4-A04-SUP-02B,Toileting,Supplementary,wording,Prompt {preferredName} to wash hands,Prompt {preferredName} to wash {hishertheir} hands,Independent review: wording or grammar
D1-A06-DT-01A,Focusing and Directing Attention,Differentiated Teaching,wording,Prompt to maintain attention on tasks,Prompt {preferredName} to maintain attention on the task,Independent review: wording or grammar
D4-A04-DT-01B,Toileting,Differentiated Teaching,wording,Support low-level routines within ordinary classroom or yard routines,Support {preferredName} with toileting and hygiene as part of ordinary classroom and yard routines,Independent review: wording or grammar
D3-A01-SUP-01B,Producing Non-Verbal Messages,Supplementary,wording,Prompt and reinforce these messages across familiar routines,Prompt and reinforce the agreed communication messages or signals across familiar routines,Independent review: too vague or unclear
D2-A03-SUB-03C,Handling Stress and Other Psychological Demands,Substantial,wording,Modify expectations,"Adjust task expectations while preserving the intended learning, unless a curriculum modification is documented",Independent review: lowered expectations without a safeguard
D5-A03-EXT-01B,Regulating Behaviours Within Interactions,Extensive,wording,Reduce demands,Temporarily reduce non-essential demands when this is part of the agreed support plan,Independent review: lowered expectations without a safeguard
D2-A03-EXT-01B,Handling Stress and Other Psychological Demands,Extensive,wording,Modify demands,Modify non-essential demands as set out in the agreed plan while preserving the intended learning,Independent review: lowered expectations without a safeguard
D5-A04-EXT-02C,Interacting According to Social Rules,Extensive,wording,Modify activities,Modify activities so {preferredName} can take part while preserving the intended learning or participation goal,Independent review: lowered expectations without a safeguard
D4-A06-EXT-02B,Looking After One’s Health,Extensive,wording,Respond to emergency procedures where required,Follow the documented emergency procedures where required,Independent review: wording or grammar
D3-A05-DT-01D,Conversation,Differentiated Teaching,wording,Use teacher facilitation during group work,Facilitate conversation during group work,Independent review: wording or grammar
D5-A01-SUP-02A,Responding to the Feelings of Others,Supplementary,wording,Use adult coaching during peer interactions,Coach {preferredName} during peer interactions,Independent review: wording or grammar
D5-A03-SUP-01D,Regulating Behaviours Within Interactions,Supplementary,wording,Use adult coaching,Coach {preferredName} to manage emotions during interactions,Independent review: wording or grammar
D5-A04-SUP-01D,Interacting According to Social Rules,Supplementary,wording,Use adult coaching,Coach {preferredName} on social expectations during activities,Independent review: wording or grammar
D5-A01-SUP-02B,Responding to the Feelings of Others,Supplementary,wording,Use relevant specialist advice,Use relevant specialist advice to support {preferredName} in peer interactions,Independent review: too vague or unclear
D5-A02-SUP-02B,Forming Relationships,Supplementary,wording,Use relevant specialist advice,Use relevant specialist advice to support {preferredName} to build relationships,Independent review: too vague or unclear
D6-A02-SUP-02C,Fine Motor Skills,Supplementary,wording,Use relevant specialist advice,Use relevant specialist advice to support fine motor access,Independent review: too vague or unclear
D5-A03-EXT-02A,Regulating Behaviours Within Interactions,Extensive,wording,Prompt breaks,Prompt {preferredName} to take an agreed break,Independent review: too vague or unclear
D3-A03-SUB-01B,Interpreting Non-Verbal Messages,Substantial,wording,Explicitly label the emotions,Explicitly label emotions as they occur,Independent review: too vague or unclear
D6-A02-DT-01A,Fine Motor Skills,Differentiated Teaching,wording,Use pencil grips,Provide pencil grips and support {preferredName} to use them,Independent review: read as the adult using the student's equipment
D6-A02-DT-01B,Fine Motor Skills,Differentiated Teaching,wording,Use adapted scissors,Provide adapted scissors and support {preferredName} to use them,Independent review: read as the adult using the student's equipment
D6-A02-SUP-01A,Fine Motor Skills,Supplementary,wording,Use adapted writing tools,Provide adapted writing tools and support {preferredName} to use them,Independent review: read as the adult using the student's equipment
D6-A02-SUB-01A,Fine Motor Skills,Substantial,wording,Use adapted keyboards,Provide an adapted keyboard and support {preferredName} to use it,Independent review: read as the adult using the student's equipment
D6-A02-SUB-01B,Fine Motor Skills,Substantial,wording,Use concept keyboards,Provide a concept keyboard and support {preferredName} to use it,Independent review: read as the adult using the student's equipment
D3-A01-SUB-01B,Producing Non-Verbal Messages,Substantial,wording,Use communication boards,Provide communication boards and model their use,Independent review: read as the adult using the student's equipment
D4-A01-SUP-02A,Drinking,Supplementary,wording,Use adapted cups,Provide an adapted cup and support {preferredName} to use it,Independent review: read as the adult using the student's equipment
D4-A02-SUP-01C,Eating,Supplementary,wording,Use adapted tools,Provide adapted cutlery or eating tools and support {preferredName} to use them,Independent review: read as the adult using the student's equipment
D2-A04-SUP-01A,Managing One’s Own Behaviour,Supplementary,wording,Use pre-correction,Remind {preferredName} of the expected behaviour just before the identified situation,Independent review: too vague or unclear
D1-A03-SUP-01B,Reading,Supplementary,wording,Provide a specific reading programme linked to the identified need,Provide a specific reading program linked to the identified need,Australian spelling: program
D4-A03-PE-01,Dressing,Present Environment,access outcome,"access PE, sport, weather, toileting or clothing changes","access clothing changes for PE, sport, weather and toileting",Independent review: outcome did not read naturally
D6-A01-PE-01,Lifting and Carrying Objects,Present Environment,access outcome,"access school bag, books, equipment, technology or materials","access {hishertheir} school bag, books, equipment, technology or materials",Independent review: outcome did not read naturally
D2-A03-PE-01,Handling Stress and Other Psychological Demands,Present Environment,access outcome,"access assessment, time limits, unexpected change or sensory or social demands","manage assessment, time limits, unexpected change, and sensory or social demands",Independent review: outcome did not read naturally
D6-A03-PE-01,Moving From Place to Place,Present Environment,access outcome,"access movement between classes, yard, excursions or uneven or crowded areas","move between classes, around the yard and on excursions, including uneven or crowded areas",Independent review: outcome did not read naturally
D5-A03-PE-01,Regulating Behaviours Within Interactions,Present Environment,access outcome,"access group work, peer conflict, social demands or unstructured settings","manage group work, peer conflict, social demands and unstructured settings",Independent review: outcome did not read naturally
R-AH-03,Role support,Tier 3,role wording,"The {role} should train the school staff who implement any prescribed technique, programme or equipment for {preferredName}, observe them doing it, and review it at an agreed interval, so the technique is delivered as intended and safely.","The {role} should train the school staff who implement any prescribed technique, program or equipment for {preferredName}, observe them doing it, and review it at an agreed interval, so the technique is delivered as intended and safely.",Australian spelling: program
R-CUL-04,Role support,Tier 2,role wording,"The {role} should connect {preferredName} with cultural mentoring or community programmes the family agrees to, and follow up that the connection was made, so the school is not the only source of support.","The {role} should connect {preferredName} with cultural mentoring or community programs the family agrees to, and follow up that the connection was made, so the school is not the only source of support.",Australian spelling: program
R-NUR-02,Role support,Tier 3,role wording,"The {role} should make sure {preferredName}'s medication, equipment and health procedure are available wherever the school programme takes place, including excursions, camps and sport, so participation is never limited by where the equipment is kept.","The {role} should make sure {preferredName}'s medication, equipment and health procedure are available wherever the school program takes place, including excursions, camps and sport, so participation is never limited by where the equipment is kept.",Australian spelling: program
R-PRIN-02,Role support,Tier 3,role wording,"The {role} should approve, document and review any arrangement that reduces {preferredName}'s access to the full timetable or programme, setting a review date and a written plan for returning to full access, so a short-term measure does not quietly become permanent.","The {role} should approve, document and review any arrangement that reduces {preferredName}'s access to the full timetable or program, setting a review date and a written plan for returning to full access, so a short-term measure does not quietly become permanent.",Australian spelling: program
R-ES-06,Role support,Tier 2,role wording,"The {role} should support {preferredName} on excursions, camps and offsite activities according to the risk assessment completed before the activity, so {preferredName} takes part in the same programme as everyone else.","The {role} should support {preferredName} on excursions, camps and offsite activities according to the risk assessment completed before the activity, so {preferredName} takes part in the same program as everyone else.",Australian spelling: program
R-LM-05,Role support,Tier 2,role wording,"The {role} should hold a restorative conversation with {preferredName} after any conflict, once {preferredName} is regulated and before returning to the setting, covering what happened, who was affected and what will be done differently, so the return to class is planned rather than raw.","The {role} should hold a restorative conversation with {preferredName} after any conflict, once {preferredName} is regulated and as part of a planned return to the setting, covering what happened, who was affected and what will be done differently, so the return to class is planned rather than raw.",Independent review: return to class must not depend on the conversation
