id,domain,activity,level,category,who_leads,who_else,required_qualification,wording,access_outcome,context,frequency,intensity_summary,evidence_to_monitor,student_voice_prompt,how_support_fades,status
D1-A02-EXT-02A,Learning and Applying Knowledge,Listening,Extensive,Communication & interaction,Classroom Teacher,Education Support Staff; Visiting Teacher,,"Deliver every lesson with the Auslan interpreter or Auslan-trained staff named in {preferredName}'s plan, using both Auslan and English",access learning and class communication in Auslan and English,spoken instructions; class discussion; announcements; audio content,throughout the school day,"Sustained, highly individualised; consistently across activity/settings","instructions {preferredName} follows first time, through speech, technology or an interpreter; use of hearing technology or captions, and any faults; how often {preferredName} asks for repetition or checks with a peer; listening fatigue across the day","Which part of this support helps you most when working with spoken instructions, class discussion, announcements or audio content? What should we keep, change or fade?","Teach {preferredName} to check equipment, choose a good position and ask for repetition. Reduce adult checks as these become independent, and keep technology, captions and interpreting wherever hearing itself is the barrier.",working_draft
D1-A03-PE-01,Learning and Applying Knowledge,Reading,Present Environment,Literacy / numeracy access,Classroom Teacher,,,Maintain ordinary accessible supports and resources in the setting,"access dense text, written instructions, subject-specific texts or word problems",dense text; written instructions; subject-specific texts; word problems,as part of everyday practice,Ordinary supports/resources available in the setting,"texts accessed at the same time as the class; comprehension on tasks matched to the learning goal; decoding and fluency, where reading itself is being taught; independent use of text-to-speech, formats or other tools","Which part of this support helps you most when working with dense text, written instructions, subject-specific texts or word problems? What should we keep, change or fade?","Keep access supports such as audio and alternative formats wherever decoding is not the learning goal, while reading instruction continues. Fade adult reading as {preferredName} uses tools independently and fluency grows.",working_draft
D1-A03-DT-01A,Learning and Applying Knowledge,Reading,Differentiated Teaching,Literacy / numeracy access,Classroom Teacher,Education Support Staff,,Provide brief teacher assistance,access written information and demonstrate comprehension,dense text; written instructions; subject-specific texts; word problems,as needed during relevant tasks or routines,"Brief, occasional; within usual classroom practice","texts accessed at the same time as the class; comprehension on tasks matched to the learning goal; decoding and fluency, where reading itself is being taught; independent use of text-to-speech, formats or other tools","Which part of this support helps you most when working with dense text, written instructions, subject-specific texts or word problems? What should we keep, change or fade?","Keep access supports such as audio and alternative formats wherever decoding is not the learning goal, while reading instruction continues. Fade adult reading as {preferredName} uses tools independently and fluency grows.",working_draft
D1-A03-DT-01B,Learning and Applying Knowledge,Reading,Differentiated Teaching,Literacy / numeracy access,Classroom Teacher,Education Support Staff,,Re-read or restate instructions,access written information and demonstrate comprehension,dense text; written instructions; subject-specific texts; word problems,as needed during relevant tasks or routines,"Brief, occasional; within usual classroom practice","texts accessed at the same time as the class; comprehension on tasks matched to the learning goal; decoding and fluency, where reading itself is being taught; independent use of text-to-speech, formats or other tools","Which part of this support helps you most when working with dense text, written instructions, subject-specific texts or word problems? What should we keep, change or fade?","Keep access supports such as audio and alternative formats wherever decoding is not the learning goal, while reading instruction continues. Fade adult reading as {preferredName} uses tools independently and fluency grows.",working_draft
D1-A03-DT-01C,Learning and Applying Knowledge,Reading,Differentiated Teaching,Literacy / numeracy access,Classroom Teacher,Education Support Staff,,Clarify key vocabulary,access written information and demonstrate comprehension,dense text; written instructions; subject-specific texts; word problems,as needed during relevant tasks or routines,"Brief, occasional; within usual classroom practice","texts accessed at the same time as the class; comprehension on tasks matched to the learning goal; decoding and fluency, where reading itself is being taught; independent use of text-to-speech, formats or other tools","Which part of this support helps you most when working with dense text, written instructions, subject-specific texts or word problems? What should we keep, change or fade?","Keep access supports such as audio and alternative formats wherever decoding is not the learning goal, while reading instruction continues. Fade adult reading as {preferredName} uses tools independently and fluency grows.",working_draft
D1-A03-DT-01D,Learning and Applying Knowledge,Reading,Differentiated Teaching,Literacy / numeracy access,Classroom Teacher,Education Support Staff,,Check understanding,access written information and demonstrate comprehension,dense text; written instructions; subject-specific texts; word problems,as needed during relevant tasks or routines,"Brief, occasional; within usual classroom practice","texts accessed at the same time as the class; comprehension on tasks matched to the learning goal; decoding and fluency, where reading itself is being taught; independent use of text-to-speech, formats or other tools","Which part of this support helps you most when working with dense text, written instructions, subject-specific texts or word problems? What should we keep, change or fade?","Keep access supports such as audio and alternative formats wherever decoding is not the learning goal, while reading instruction continues. Fade adult reading as {preferredName} uses tools independently and fluency grows.",working_draft
D1-A03-DT-02,Learning and Applying Knowledge,Reading,Differentiated Teaching,Literacy / numeracy access,Classroom Teacher,Education Support Staff,,Provide access to routine classroom literacy supports,access written information and demonstrate comprehension,dense text; written instructions; subject-specific texts; word problems,as needed during relevant tasks or routines,"Brief, occasional; within usual classroom practice","texts accessed at the same time as the class; comprehension on tasks matched to the learning goal; decoding and fluency, where reading itself is being taught; independent use of text-to-speech, formats or other tools","Which part of this support helps you most when working with dense text, written instructions, subject-specific texts or word problems? What should we keep, change or fade?","Keep access supports such as audio and alternative formats wherever decoding is not the learning goal, while reading instruction continues. Fade adult reading as {preferredName} uses tools independently and fluency grows.",working_draft
D1-A03-SUP-01A,Learning and Applying Knowledge,Reading,Supplementary,Literacy / numeracy access,Classroom Teacher,Education Support Staff,,Provide targeted small-group teaching linked to the identified need,access written information and demonstrate comprehension,dense text; written instructions; subject-specific texts; word problems,at specific times through the week or in identified tasks or settings,"Regular, planned and personalised; at specific times/settings","texts accessed at the same time as the class; comprehension on tasks matched to the learning goal; decoding and fluency, where reading itself is being taught; independent use of text-to-speech, formats or other tools","Which part of this support helps you most when working with dense text, written instructions, subject-specific texts or word problems? What should we keep, change or fade?","Keep access supports such as audio and alternative formats wherever decoding is not the learning goal, while reading instruction continues. Fade adult reading as {preferredName} uses tools independently and fluency grows.",working_draft
D1-A03-SUP-01B,Learning and Applying Knowledge,Reading,Supplementary,Literacy / numeracy access,Classroom Teacher,Education Support Staff,,Provide a specific reading program linked to the identified need,access written information and demonstrate comprehension,dense text; written instructions; subject-specific texts; word problems,at specific times through the week or in identified tasks or settings,"Regular, planned and personalised; at specific times/settings","texts accessed at the same time as the class; comprehension on tasks matched to the learning goal; decoding and fluency, where reading itself is being taught; independent use of text-to-speech, formats or other tools","Which part of this support helps you most when working with dense text, written instructions, subject-specific texts or word problems? What should we keep, change or fade?","Keep access supports such as audio and alternative formats wherever decoding is not the learning goal, while reading instruction continues. Fade adult reading as {preferredName} uses tools independently and fluency grows.",working_draft
D1-A03-SUP-01C,Learning and Applying Knowledge,Reading,Supplementary,Literacy / numeracy access,Classroom Teacher,Education Support Staff,,Pre-teach key vocabulary,access written information and demonstrate comprehension,dense text; written instructions; subject-specific texts; word problems,at specific times through the week or in identified tasks or settings,"Regular, planned and personalised; at specific times/settings","texts accessed at the same time as the class; comprehension on tasks matched to the learning goal; decoding and fluency, where reading itself is being taught; independent use of text-to-speech, formats or other tools","Which part of this support helps you most when working with dense text, written instructions, subject-specific texts or word problems? What should we keep, change or fade?","Keep access supports such as audio and alternative formats wherever decoding is not the learning goal, while reading instruction continues. Fade adult reading as {preferredName} uses tools independently and fluency grows.",working_draft
D1-A03-SUP-01D,Learning and Applying Knowledge,Reading,Supplementary,Literacy / numeracy access,Classroom Teacher,Education Support Staff,,Provide an accessible version of the text while preserving the intended learning goal,access written information and demonstrate comprehension,dense text; written instructions; subject-specific texts; word problems,at specific times through the week or in identified tasks or settings,"Regular, planned and personalised; at specific times/settings","texts accessed at the same time as the class; comprehension on tasks matched to the learning goal; decoding and fluency, where reading itself is being taught; independent use of text-to-speech, formats or other tools","Which part of this support helps you most when working with dense text, written instructions, subject-specific texts or word problems? What should we keep, change or fade?","Keep access supports such as audio and alternative formats wherever decoding is not the learning goal, while reading instruction continues. Fade adult reading as {preferredName} uses tools independently and fluency grows.",working_draft
D1-A03-SUP-02A,Learning and Applying Knowledge,Reading,Supplementary,Literacy / numeracy access,Classroom Teacher,Education Support Staff,,Provide guided reading support,access written information and demonstrate comprehension,dense text; written instructions; subject-specific texts; word problems,at specific times through the week or in identified tasks or settings,"Regular, planned and personalised; at specific times/settings","texts accessed at the same time as the class; comprehension on tasks matched to the learning goal; decoding and fluency, where reading itself is being taught; independent use of text-to-speech, formats or other tools","Which part of this support helps you most when working with dense text, written instructions, subject-specific texts or word problems? What should we keep, change or fade?","Keep access supports such as audio and alternative formats wherever decoding is not the learning goal, while reading instruction continues. Fade adult reading as {preferredName} uses tools independently and fluency grows.",working_draft
D1-A03-SUP-02B,Learning and Applying Knowledge,Reading,Supplementary,Technology & resources,Classroom Teacher,Education Support Staff,,Provide the agreed assistive technology and teach its use,access written information and demonstrate comprehension,dense text; written instructions; subject-specific texts; word problems,at specific times through the week or in identified tasks or settings,"Regular, planned and personalised; at specific times/settings","texts accessed at the same time as the class; comprehension on tasks matched to the learning goal; decoding and fluency, where reading itself is being taught; independent use of text-to-speech, formats or other tools","Which part of this support helps you most when working with dense text, written instructions, subject-specific texts or word problems? What should we keep, change or fade?","Keep access supports such as audio and alternative formats wherever decoding is not the learning goal, while reading instruction continues. Fade adult reading as {preferredName} uses tools independently and fluency grows.",working_draft
D1-A03-SUP-02C,Learning and Applying Knowledge,Reading,Supplementary,Literacy / numeracy access,Classroom Teacher,Education Support Staff,,Provide regular support to understand written instructions and learning materials,access written information and demonstrate comprehension,dense text; written instructions; subject-specific texts; word problems,at specific times through the week or in identified tasks or settings,"Regular, planned and personalised; at specific times/settings","texts accessed at the same time as the class; comprehension on tasks matched to the learning goal; decoding and fluency, where reading itself is being taught; independent use of text-to-speech, formats or other tools","Which part of this support helps you most when working with dense text, written instructions, subject-specific texts or word problems? What should we keep, change or fade?","Keep access supports such as audio and alternative formats wherever decoding is not the learning goal, while reading instruction continues. Fade adult reading as {preferredName} uses tools independently and fluency grows.",working_draft
D1-A03-SUB-01A,Learning and Applying Knowledge,Reading,Substantial,Assessment & demonstrating learning,Education Support Staff,Classroom Teacher,,"Act as an agreed one-to-one reader, reading the text verbatim without adding interpretation",access written information and demonstrate comprehension,reading-intensive tasks where reader support is documented,on most days or across relevant reading-intensive tasks,"Frequent, personalised; on most days/relevant settings","texts accessed at the same time as the class; comprehension on tasks matched to the learning goal; decoding and fluency, where reading itself is being taught; independent use of text-to-speech, formats or other tools","Which part of this support helps you most when working with reading-intensive tasks where reader support is documented? What should we keep, change or fade?","Keep access supports such as audio and alternative formats wherever decoding is not the learning goal, while reading instruction continues. Fade adult reading as {preferredName} uses tools independently and fluency grows.",working_draft
D1-A03-SUB-01B,Learning and Applying Knowledge,Reading,Substantial,Literacy / numeracy access,Classroom Teacher,Education Support Staff,,Highlight only essential words in {preferredName}'s copy when this reduces visual load without changing the learning demand,identify essential information without unnecessary visual load,reading-intensive tasks,on most days or across relevant reading-intensive tasks,"Frequent, personalised; on most days/relevant settings","texts accessed at the same time as the class; comprehension on tasks matched to the learning goal; decoding and fluency, where reading itself is being taught; independent use of text-to-speech, formats or other tools","Which part of this support helps you most when working with reading-intensive tasks? What should we keep, change or fade?","Keep access supports such as audio and alternative formats wherever decoding is not the learning goal, while reading instruction continues. Fade adult reading as {preferredName} uses tools independently and fluency grows.",working_draft
D1-A03-SUB-02A,Learning and Applying Knowledge,Reading,Substantial,Assessment & demonstrating learning,Classroom Teacher,,,Provide large-print materials where required for access,access information through an appropriate format,relevant tasks and assessments,for each relevant task or assessment,"Frequent, personalised; on most days/relevant settings","texts accessed at the same time as the class; comprehension on tasks matched to the learning goal; decoding and fluency, where reading itself is being taught; independent use of text-to-speech, formats or other tools","Which part of this support helps you most when working with relevant tasks and assessments? What should we keep, change or fade?","Keep access supports such as audio and alternative formats wherever decoding is not the learning goal, while reading instruction continues. Fade adult reading as {preferredName} uses tools independently and fluency grows.",working_draft
D1-A03-SUB-02B,Learning and Applying Knowledge,Reading,Substantial,Assessment & demonstrating learning,Classroom Teacher,,,Provide an audio version of written material where decoding is not the intended learning outcome,access information through an appropriate format,relevant tasks and assessments,for each relevant task or assessment,"Frequent, personalised; on most days/relevant settings","texts accessed at the same time as the class; comprehension on tasks matched to the learning goal; decoding and fluency, where reading itself is being taught; independent use of text-to-speech, formats or other tools","Which part of this support helps you most when working with relevant tasks and assessments? What should we keep, change or fade?","Keep access supports such as audio and alternative formats wherever decoding is not the learning goal, while reading instruction continues. Fade adult reading as {preferredName} uses tools independently and fluency grows.",working_draft
D1-A03-SUB-02C,Learning and Applying Knowledge,Reading,Substantial,Assessment & demonstrating learning,Classroom Teacher,,,Provide a scaffolded template where this supports access without lowering the intended learning goal,organise and demonstrate understanding,relevant tasks and assessments,for each relevant task or assessment,"Frequent, personalised; on most days/relevant settings","texts accessed at the same time as the class; comprehension on tasks matched to the learning goal; decoding and fluency, where reading itself is being taught; independent use of text-to-speech, formats or other tools","Which part of this support helps you most when working with relevant tasks and assessments? What should we keep, change or fade?","Keep access supports such as audio and alternative formats wherever decoding is not the learning goal, while reading instruction continues. Fade adult reading as {preferredName} uses tools independently and fluency grows.",working_draft
D1-A03-SUB-02D,Learning and Applying Knowledge,Reading,Substantial,Assessment & demonstrating learning,Classroom Teacher,,,Keep captions enabled for multimedia used in learning and assessment,access spoken information in multimedia,multimedia,whenever relevant multimedia is used,"Frequent, personalised; on most days/relevant settings","texts accessed at the same time as the class; comprehension on tasks matched to the learning goal; decoding and fluency, where reading itself is being taught; independent use of text-to-speech, formats or other tools","Which part of this support helps you most when working with multimedia? What should we keep, change or fade?","Keep access supports such as audio and alternative formats wherever decoding is not the learning goal, while reading instruction continues. Fade adult reading as {preferredName} uses tools independently and fluency grows.",working_draft
D1-A03-SUB-03A,Learning and Applying Knowledge,Reading,Substantial,Assessment & demonstrating learning,Classroom Teacher,,,Apply 25% additional time when this provision is documented for {preferredName},use additional processing and response time without changing the intended learning,reading-intensive assessments,every relevant assessment,"Frequent, personalised; on most days/relevant settings","texts accessed at the same time as the class; comprehension on tasks matched to the learning goal; decoding and fluency, where reading itself is being taught; independent use of text-to-speech, formats or other tools","Which part of this support helps you most when working with reading-intensive assessments? What should we keep, change or fade?","Keep access supports such as audio and alternative formats wherever decoding is not the learning goal, while reading instruction continues. Fade adult reading as {preferredName} uses tools independently and fluency grows.",working_draft
D1-A03-SUB-04A,Learning and Applying Knowledge,Reading,Substantial,Literacy / numeracy access,Classroom Teacher,Education Support Staff,,Read most materials aloud,access written information and demonstrate comprehension,dense text; written instructions; subject-specific texts; word problems,on most days or across most relevant tasks or settings,"Frequent, personalised; on most days/relevant settings","texts accessed at the same time as the class; comprehension on tasks matched to the learning goal; decoding and fluency, where reading itself is being taught; independent use of text-to-speech, formats or other tools","Which part of this support helps you most when working with dense text, written instructions, subject-specific texts or word problems? What should we keep, change or fade?","Keep access supports such as audio and alternative formats wherever decoding is not the learning goal, while reading instruction continues. Fade adult reading as {preferredName} uses tools independently and fluency grows.",working_draft
D1-A03-SUB-04B,Learning and Applying Knowledge,Reading,Substantial,Technology & resources,Classroom Teacher,Education Support Staff,,Provide text-to-speech,access written information and demonstrate comprehension,dense text; written instructions; subject-specific texts; word problems,on most days or across most relevant tasks or settings,"Frequent, personalised; on most days/relevant settings","texts accessed at the same time as the class; comprehension on tasks matched to the learning goal; decoding and fluency, where reading itself is being taught; independent use of text-to-speech, formats or other tools","Which part of this support helps you most when working with dense text, written instructions, subject-specific texts or word problems? What should we keep, change or fade?","Keep access supports such as audio and alternative formats wherever decoding is not the learning goal, while reading instruction continues. Fade adult reading as {preferredName} uses tools independently and fluency grows.",working_draft
D1-A03-SUB-04C,Learning and Applying Knowledge,Reading,Substantial,Literacy / numeracy access,Classroom Teacher,Education Support Staff,,Adapt texts,access written information and demonstrate comprehension,dense text; written instructions; subject-specific texts; word problems,on most days or across most relevant tasks or settings,"Frequent, personalised; on most days/relevant settings","texts accessed at the same time as the class; comprehension on tasks matched to the learning goal; decoding and fluency, where reading itself is being taught; independent use of text-to-speech, formats or other tools","Which part of this support helps you most when working with dense text, written instructions, subject-specific texts or word problems? What should we keep, change or fade?","Keep access supports such as audio and alternative formats wherever decoding is not the learning goal, while reading instruction continues. Fade adult reading as {preferredName} uses tools independently and fluency grows.",working_draft
D1-A03-SUB-04D,Learning and Applying Knowledge,Reading,Substantial,Literacy / numeracy access,Classroom Teacher,Education Support Staff,,Pre-teach key vocabulary,access written information and demonstrate comprehension,dense text; written instructions; subject-specific texts; word problems,on most days or across most relevant tasks or settings,"Frequent, personalised; on most days/relevant settings","texts accessed at the same time as the class; comprehension on tasks matched to the learning goal; decoding and fluency, where reading itself is being taught; independent use of text-to-speech, formats or other tools","Which part of this support helps you most when working with dense text, written instructions, subject-specific texts or word problems? What should we keep, change or fade?","Keep access supports such as audio and alternative formats wherever decoding is not the learning goal, while reading instruction continues. Fade adult reading as {preferredName} uses tools independently and fluency grows.",working_draft
D1-A03-SUB-05A,Learning and Applying Knowledge,Reading,Substantial,Literacy / numeracy access,Classroom Teacher,Education Support Staff,,Provide alternative formats,access written information and demonstrate comprehension,dense text; written instructions; subject-specific texts; word problems,on most days or across most relevant tasks or settings,"Frequent, personalised; on most days/relevant settings","texts accessed at the same time as the class; comprehension on tasks matched to the learning goal; decoding and fluency, where reading itself is being taught; independent use of text-to-speech, formats or other tools","Which part of this support helps you most when working with dense text, written instructions, subject-specific texts or word problems? What should we keep, change or fade?","Keep access supports such as audio and alternative formats wherever decoding is not the learning goal, while reading instruction continues. Fade adult reading as {preferredName} uses tools independently and fluency grows.",working_draft
D1-A03-SUB-05B,Learning and Applying Knowledge,Reading,Substantial,Literacy / numeracy access,Classroom Teacher,Education Support Staff,,Support comprehension,access written information and demonstrate comprehension,dense text; written instructions; subject-specific texts; word problems,on most days or across most relevant tasks or settings,"Frequent, personalised; on most days/relevant settings","texts accessed at the same time as the class; comprehension on tasks matched to the learning goal; decoding and fluency, where reading itself is being taught; independent use of text-to-speech, formats or other tools","Which part of this support helps you most when working with dense text, written instructions, subject-specific texts or word problems? What should we keep, change or fade?","Keep access supports such as audio and alternative formats wherever decoding is not the learning goal, while reading instruction continues. Fade adult reading as {preferredName} uses tools independently and fluency grows.",working_draft
D1-A03-SUB-05C,Learning and Applying Knowledge,Reading,Substantial,Assessment & demonstrating learning,Classroom Teacher,Education Support Staff,,Modify assessment conditions,access written information and demonstrate comprehension,dense text; written instructions; subject-specific texts; word problems,on most days or across most relevant tasks or settings,"Frequent, personalised; on most days/relevant settings","texts accessed at the same time as the class; comprehension on tasks matched to the learning goal; decoding and fluency, where reading itself is being taught; independent use of text-to-speech, formats or other tools","Which part of this support helps you most when working with dense text, written instructions, subject-specific texts or word problems? What should we keep, change or fade?","Keep access supports such as audio and alternative formats wherever decoding is not the learning goal, while reading instruction continues. Fade adult reading as {preferredName} uses tools independently and fluency grows.",working_draft
D1-A03-EXT-01A,Learning and Applying Knowledge,Reading,Extensive,Literacy / numeracy access,Classroom Teacher,Education Support Staff,,Provide all or almost all written materials through adult reading,access written information and demonstrate comprehension,dense text; written instructions; subject-specific texts; word problems,consistently throughout the activity or across relevant settings in the school day,"Sustained, highly individualised; consistently across activity/settings","texts accessed at the same time as the class; comprehension on tasks matched to the learning goal; decoding and fluency, where reading itself is being taught; independent use of text-to-speech, formats or other tools","Which part of this support helps you most when working with dense text, written instructions, subject-specific texts or word problems? What should we keep, change or fade?","Keep access supports such as audio and alternative formats wherever decoding is not the learning goal, while reading instruction continues. Fade adult reading as {preferredName} uses tools independently and fluency grows.",working_draft
D1-A03-EXT-01B,Learning and Applying Knowledge,Reading,Extensive,Literacy / numeracy access,Classroom Teacher,Education Support Staff,,Use tactile formats,access written information and demonstrate comprehension,dense text; written instructions; subject-specific texts; word problems,consistently throughout the activity or across relevant settings in the school day,"Sustained, highly individualised; consistently across activity/settings","texts accessed at the same time as the class; comprehension on tasks matched to the learning goal; decoding and fluency, where reading itself is being taught; independent use of text-to-speech, formats or other tools","Which part of this support helps you most when working with dense text, written instructions, subject-specific texts or word problems? What should we keep, change or fade?","Keep access supports such as audio and alternative formats wherever decoding is not the learning goal, while reading instruction continues. Fade adult reading as {preferredName} uses tools independently and fluency grows.",working_draft
D1-A03-EXT-01C,Learning and Applying Knowledge,Reading,Extensive,Literacy / numeracy access,Classroom Teacher,Education Support Staff,,Use other specialised access methods,access written information and demonstrate comprehension,dense text; written instructions; subject-specific texts; word problems,consistently throughout the activity or across relevant settings in the school day,"Sustained, highly individualised; consistently across activity/settings","texts accessed at the same time as the class; comprehension on tasks matched to the learning goal; decoding and fluency, where reading itself is being taught; independent use of text-to-speech, formats or other tools","Which part of this support helps you most when working with dense text, written instructions, subject-specific texts or word problems? What should we keep, change or fade?","Keep access supports such as audio and alternative formats wherever decoding is not the learning goal, while reading instruction continues. Fade adult reading as {preferredName} uses tools independently and fluency grows.",working_draft
D1-A03-EXT-02A,Learning and Applying Knowledge,Reading,Extensive,Literacy / numeracy access,Classroom Teacher,Education Support Staff; Visiting Teacher,,"Give every text to the Visiting Teacher with the agreed notice, and hand {preferredName} the braille version when the class receives the print",access written information and demonstrate comprehension,dense text; written instructions; subject-specific texts; word problems,for every text used in class,"Sustained, highly individualised; consistently across activity/settings","texts accessed at the same time as the class; comprehension on tasks matched to the learning goal; decoding and fluency, where reading itself is being taught; independent use of text-to-speech, formats or other tools","Which part of this support helps you most when working with dense text, written instructions, subject-specific texts or word problems? What should we keep, change or fade?","Keep access supports such as audio and alternative formats wherever decoding is not the learning goal, while reading instruction continues. Fade adult reading as {preferredName} uses tools independently and fluency grows.",working_draft
D1-A04-PE-01,Learning and Applying Knowledge,Writing,Present Environment,Assessment & demonstrating learning,Classroom Teacher,,,Maintain ordinary accessible supports and resources in the setting,"access planning, drafting, recording written responses or assessment tasks",planning; drafting; recording written responses; assessment tasks,as part of everyday practice,Ordinary supports/resources available in the setting,"ideas {preferredName} records independently, in any agreed format; quality of writing against the learning goal; use of templates, word banks or assistive technology without prompting; time and fatigue in extended writing","Which part of this support helps you most when working with planning, drafting, recording written responses or assessment tasks? What should we keep, change or fade?","Fade scaffolds in order: adult prompts first, then templates, then word banks. Keep assistive technology or scribing wherever the physical act of writing is not what is being assessed.",working_draft
D1-A04-DT-01A,Learning and Applying Knowledge,Writing,Differentiated Teaching,Assessment & demonstrating learning,Classroom Teacher,Education Support Staff,,Use brief prompting,communicate ideas and demonstrate learning in written or recorded form,planning; drafting; recording written responses; assessment tasks,as needed during relevant tasks or routines,"Brief, occasional; within usual classroom practice","ideas {preferredName} records independently, in any agreed format; quality of writing against the learning goal; use of templates, word banks or assistive technology without prompting; time and fatigue in extended writing","Which part of this support helps you most when working with planning, drafting, recording written responses or assessment tasks? What should we keep, change or fade?","Fade scaffolds in order: adult prompts first, then templates, then word banks. Keep assistive technology or scribing wherever the physical act of writing is not what is being assessed.",working_draft
D1-A04-DT-01B,Learning and Applying Knowledge,Writing,Differentiated Teaching,Assessment & demonstrating learning,Classroom Teacher,Education Support Staff,,Provide sentence starters where they reduce an access barrier without lowering the learning goal,communicate ideas and demonstrate learning in written or recorded form,planning; drafting; recording written responses; assessment tasks,as needed during relevant tasks or routines,"Brief, occasional; within usual classroom practice","ideas {preferredName} records independently, in any agreed format; quality of writing against the learning goal; use of templates, word banks or assistive technology without prompting; time and fatigue in extended writing","Which part of this support helps you most when working with planning, drafting, recording written responses or assessment tasks? What should we keep, change or fade?","Fade scaffolds in order: adult prompts first, then templates, then word banks. Keep assistive technology or scribing wherever the physical act of writing is not what is being assessed.",working_draft
D1-A04-DT-01C,Learning and Applying Knowledge,Writing,Differentiated Teaching,Assessment & demonstrating learning,Classroom Teacher,Education Support Staff,,Provide word banks,communicate ideas and demonstrate learning in written or recorded form,planning; drafting; recording written responses; assessment tasks,as needed during relevant tasks or routines,"Brief, occasional; within usual classroom practice","ideas {preferredName} records independently, in any agreed format; quality of writing against the learning goal; use of templates, word banks or assistive technology without prompting; time and fatigue in extended writing","Which part of this support helps you most when working with planning, drafting, recording written responses or assessment tasks? What should we keep, change or fade?","Fade scaffolds in order: adult prompts first, then templates, then word banks. Keep assistive technology or scribing wherever the physical act of writing is not what is being assessed.",working_draft
D1-A04-DT-01D,Learning and Applying Knowledge,Writing,Differentiated Teaching,Assessment & demonstrating learning,Classroom Teacher,Education Support Staff,,Allow additional time matched to the identified access need,communicate ideas and demonstrate learning in written or recorded form,planning; drafting; recording written responses; assessment tasks,as needed during relevant tasks or routines,"Brief, occasional; within usual classroom practice","ideas {preferredName} records independently, in any agreed format; quality of writing against the learning goal; use of templates, word banks or assistive technology without prompting; time and fatigue in extended writing","Which part of this support helps you most when working with planning, drafting, recording written responses or assessment tasks? What should we keep, change or fade?","Fade scaffolds in order: adult prompts first, then templates, then word banks. Keep assistive technology or scribing wherever the physical act of writing is not what is being assessed.",working_draft
D1-A04-DT-02A,Learning and Applying Knowledge,Writing,Differentiated Teaching,Assessment & demonstrating learning,Classroom Teacher,Education Support Staff,,Provide keyboard access where this improves access to written work,communicate ideas and demonstrate learning in written or recorded form,planning; drafting; recording written responses; assessment tasks,as needed during relevant tasks or routines,"Brief, occasional; within usual classroom practice","ideas {preferredName} records independently, in any agreed format; quality of writing against the learning goal; use of templates, word banks or assistive technology without prompting; time and fatigue in extended writing","Which part of this support helps you most when working with planning, drafting, recording written responses or assessment tasks? What should we keep, change or fade?","Fade scaffolds in order: adult prompts first, then templates, then word banks. Keep assistive technology or scribing wherever the physical act of writing is not what is being assessed.",working_draft
D1-A04-DT-02B,Learning and Applying Knowledge,Writing,Differentiated Teaching,Assessment & demonstrating learning,Classroom Teacher,Education Support Staff,,Provide brief teacher check-ins at agreed points,communicate ideas and demonstrate learning in written or recorded form,planning; drafting; recording written responses; assessment tasks,as needed during relevant tasks or routines,"Brief, occasional; within usual classroom practice","ideas {preferredName} records independently, in any agreed format; quality of writing against the learning goal; use of templates, word banks or assistive technology without prompting; time and fatigue in extended writing","Which part of this support helps you most when working with planning, drafting, recording written responses or assessment tasks? What should we keep, change or fade?","Fade scaffolds in order: adult prompts first, then templates, then word banks. Keep assistive technology or scribing wherever the physical act of writing is not what is being assessed.",working_draft
D1-A04-SUP-01A,Learning and Applying Knowledge,Writing,Supplementary,Assessment & demonstrating learning,Classroom Teacher,Education Support Staff,,Use targeted teaching strategies,communicate ideas and demonstrate learning in written or recorded form,planning; drafting; recording written responses; assessment tasks,at specific times through the week or in identified tasks or settings,"Regular, planned and personalised; at specific times/settings","ideas {preferredName} records independently, in any agreed format; quality of writing against the learning goal; use of templates, word banks or assistive technology without prompting; time and fatigue in extended writing","Which part of this support helps you most when working with planning, drafting, recording written responses or assessment tasks? What should we keep, change or fade?","Fade scaffolds in order: adult prompts first, then templates, then word banks. Keep assistive technology or scribing wherever the physical act of writing is not what is being assessed.",working_draft
D1-A04-SUP-01B,Learning and Applying Knowledge,Writing,Supplementary,Assessment & demonstrating learning,Classroom Teacher,Education Support Staff,,Provide the agreed assistive technology and teach its use,communicate ideas and demonstrate learning in written or recorded form,planning; drafting; recording written responses; assessment tasks,at specific times through the week or in identified tasks or settings,"Regular, planned and personalised; at specific times/settings","ideas {preferredName} records independently, in any agreed format; quality of writing against the learning goal; use of templates, word banks or assistive technology without prompting; time and fatigue in extended writing","Which part of this support helps you most when working with planning, drafting, recording written responses or assessment tasks? What should we keep, change or fade?","Fade scaffolds in order: adult prompts first, then templates, then word banks. Keep assistive technology or scribing wherever the physical act of writing is not what is being assessed.",working_draft
D1-A04-SUP-01C,Learning and Applying Knowledge,Writing,Supplementary,Assessment & demonstrating learning,Classroom Teacher,Education Support Staff,,Provide scaffolded templates,communicate ideas and demonstrate learning in written or recorded form,planning; drafting; recording written responses; assessment tasks,at specific times through the week or in identified tasks or settings,"Regular, planned and personalised; at specific times/settings","ideas {preferredName} records independently, in any agreed format; quality of writing against the learning goal; use of templates, word banks or assistive technology without prompting; time and fatigue in extended writing","Which part of this support helps you most when working with planning, drafting, recording written responses or assessment tasks? What should we keep, change or fade?","Fade scaffolds in order: adult prompts first, then templates, then word banks. Keep assistive technology or scribing wherever the physical act of writing is not what is being assessed.",working_draft
